,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__searchInfo__textSnippet,items__volumeInfo__industryIdentifiers__identifier,title
111,That's So Gay!,"Microaggressions and the Lesbian, Gay, Bisexual, and Transgender Community",Kevin L. Nadal,"This book examines the nature and effects of microaggressions, or subtle forms of discrimination, toward lesbian, gay, bisexual, and transgender (LGBT) people. Case studies and interactive questions provide practical guidance for dealing with microaggressions and advocating for LGBT-accepting worldviews and practices.","This book examines the nature and effects of microaggressions, or subtle forms of discrimination, toward lesbian, gay, bisexual, and transgender (LGBT) people.",1433827883,"That's So Gay! Microaggressions and the Lesbian, Gay, Bisexual, and Transgender Community"
113,Microaggressions and Traumatic Stress,"Theory, Research, and Clinical Treatment",Kevin L. Nadal,"Challenging current definitions of trauma, this brief but comprehensive volume features significant new research and case studies looking at how regular exposure to subtle social discrimination in the form of microaggressions can, over time, elicit similar symptoms to severe trauma.","Challenging current definitions of trauma, Kevin L. Nadal distills the latest research on the effects of microaggressions, looking at how regular exposure to subtle discrimination can, over time, elicit similar symptoms to severe trauma.",1433828596,"Microaggressions and Traumatic Stress Theory, Research, and Clinical Treatment"
115,Managing Microaggressions,Addressing Everyday Racism in Therapeutic Spaces,Monnica T. Williams,"Microaggressions have been identified as a common and troubling cause of low retention and poor psychotherapy outcomes for people of color. All therapists want and intend to be helpful to their clients, but many unknowingly committing microaggressions due to unconscious biases and misconceptions about people from ethnic and racial minority groups. Managing Microaggressions is intended for mental health clinicians who want to be more effective in their use of evidence-based practices with people of color. Many well-intentioned clinicians lack the necessary skills and knowledge to effectively engage those who are ethnoracially different. This book discusses the theoretical basis of the problem (microaggressions), the cognitive-behavioral mechanisms by which the problem is maintained, and how to remedy the problem using CBT principles, with a focus on the role of the therapist. Not only will readers learn how to avoid offending or harming their clients, they will also be better equipped to help clients navigate microaggressions they encounter in their daily lives. Managing Microaggressions will endow clinicians with a clear understanding of these behaviors and the errors that underpin them, leading to more successful therapy.","This book discusses the theoretical basis of the problem (microaggressions), the cognitive-behavioral mechanisms by which the problem is maintained, and how to remedy the problem using CBT principles, with a focus on the role of the ...",9780190875244,Managing Microaggressions Addressing Everyday Racism in Therapeutic Spaces
117,The Mask of Microaggressions,Studies of Racism in the U. S.,Mark Tschaepe,"""This book addresses the need for teachers and students to have a shared resource that speaks to the ongoing instances of racial injustice in American society. While providing an academic foundation to engage in historical and ethical research, this book intends to demonstrate that racism has not disappeared from the American landscape and continues to influence our society and public policies."" --back cover.",&quot;This book addresses the need for teachers and students to have a shared resource that speaks to the ongoing instances of racial injustice in American society.,1524914460,The Mask of Microaggressions Studies of Racism in the U. S.
119,"Workbook for Microaggressions: Includes Work on Race, Racism, White Privilege, White Fragility, Microaggressions: Complete Study Guide",,Nicole Nicole Barnes,"The complete study guide for individuals, organizations, educational settings, and anyone interested in combating racism through meaningful discussion. This is a full curriculum that can be used as a weekly discussion group, or used topically to facilitate reflection, dialog, and change. Covers the following topics: Race Racism White Privilege White Fragility Microaggressions FEATURES: Thought-provoking questions Assessments on each topic Space for journal-style reflection Large Page size 8.5x11 Inches for easy use. Order today!","This is a full curriculum that can be used as a weekly discussion group, or used topically to facilitate reflection, dialog, and change.",9798652767648,
120,Exploring the Toxicity of Lateral Violence and Microaggressions,Poison in the Water Cooler,Christine L. Cho,"Examining the subtle forms of aggression, violence, and harassment that occur in our society and manifest in institutions and places of work, the expert contributors collected here describe the experience of social marginalization and expose how vulnerable individuals work to navigate exclusionary climates. This volume explores how bodies disrupt the status quo in multiple contexts and locations; provides insights into how institutions are structured and how practices that may cause harm are maintained; and, finally, considers progressive and proactive alternatives. This book will be a key resource for academics and professionals in education, sociology, nursing, law, business and political science, as well as organizations and policymakers grappling with aggression in the workplace.","This book will be a key resource for academics and professionals in education, sociology, nursing, law, business and political science, as well as organizations and policymakers grappling with aggression in the workplace.",9783319747606,Exploring the Toxicity of Lateral Violence and Microaggressions Poison in the Water Cooler
122,Global Perspectives on Microaggressions in Schools,Understanding and Combating Covert Violence,Taylor & Francis Group,"Recognizing microaggression as an often unseen, yet pervasive issue in schools globally, this book offers critical examination of instances of aggression, hostility, and incivility in school contexts around the world. Drawing on authors' experiences and empirical analyses, the volume puts forward practical recommendations to remedy such violence and tackle its root causes. Global Perspectives on Microaggressions in Schools brings together contributions from South Africa, Australia, Canada, and the US to explore the various forms that microaggression can take. Authors implement qualitative methodologies, personal reflection, and empirical literature to document microaggressions perpetrated by, and directed against all members of the school community, including students, teachers, school leaders and administrators. In doing so, they highlight ongoing issues including xenophobia, sexual violence, and prejudice against gifted students, LGBTQ, refugee, and indigenous communities. Looking forward, the volume proposes practical ways to undermine such prejudices and prevent the occurrence of microaggressions through effective training, policy, leadership, and student agency. Given its rigorous approach and attention to widespread issues of school violence, this book will be a timely resource for scholars, researchers, and academics with an interest in the sociology of education, educational leadership, school culture, student well-being, and inclusive education. In addition, school leaders, administrators, pre- and in-service educators may find benefit from reading this volume.","Recognizing microaggression as an often unseen, yet pervasive issue in schools globally, this book offers critical examination of instances of aggression, hostility, and incivility in school contexts around the world.",036754556X,Global Perspectives on Microaggressions in Schools Understanding and Combating Covert Violence
124,Racial Socialization and Its Moderating Effecrts on Microaggressions,,Jusiah L. Powell,"The purpose of this research was to examine the relationship between racial socialization, and how it mitigates the distress caused by microaggressions. Although overt racism is no longer socially acceptable, racism still occurs in a covert form called microaggressions. Research has shown that microaggressions causes negative effects on its’ victims the same as overt racism. Also, literature has shown microaggressions in the classroom and on college campuses cause feelings of isolation and inferiority in college students. Racial socialization is the process of being immersed in one’s culture to strengthen against negative factors. The construct of racial socialization is the idea of creating cultural defenses against discrimination and racism. The target population of this study was African American students at Abilene Christian University. Participants took the Racial and Ethnic Microaggressions scale to assess their level of perceived microaggression. The Teenager Experience of Racial Socialization scale assessed their level of racial socialization. Finally, the participants took the Kessler 10 distress scale, which assessed their level of distress. The participant took the surveys through Surveymonkey. The data was analyzed using correlational methods. The results showed the frequencies of microaggressions that occurred. The top three microaggressions from each subscale were displayed. Also, the results showed no correlation between microaggressions and distress. As well as, a positive relationship between racial socialization and distress. These findings were counter to expectation. The relationship between racial socialization and microaggressions must be further examined to better understand the factors that create a positive relationship. The examination of the role perceptions of microaggressions plays in its’ effect on the victim should be examined in further studies.","The purpose of this research was to examine the relationship between racial socialization, and how it mitigates the distress caused by microaggressions.",OCLC:989736572,
125,The Effects of Microaggressions on Self-efficacy in the Workplace Among Latinos,,Manuel Paul Leiva (Jr.),"This study analyzed the relationship between experienced racial microaggressions, their effects on the self-efficacy of Latinos, and how workplace racism might have increased the negative effects of the racial microaggressions. For this study, 102 students from a Southern California university were surveyed and a Multiple Regression statistical equation was used to analyze the data. The researcher hypothesized that the experience of racial microaggressions would be negatively correlated with a person's self-efficacy and that the experience of racism at work would increase the predictability of low self-efficacy due to microaggressions. However, the results indicated a much different outcome. It was found that there was no relationship between the experience of racial microaggressions and self-efficacy and that the experience of racism at work had no significant change on that relationship. This is not to infer that Latinos do not experience racism and its negative effects. Instead, it might suggest that the interplay between microaggressions, self-efficacy, and work experience may be more complex than previously thought.","This is not to infer that Latinos do not experience racism and its negative effects. Instead, it might suggest that the interplay between microaggressions, self-efficacy, and work experience may be more complex than previously thought.",OCLC:849005979,
126,Racial Microaggressions in Higher Education,The Doctoral Student Experience,Ryan Warner,"Racial microaggressions, a modern form of racism comprised of subtle daily racial slights and insults, have received increased empirical attention. It has been suggested that these everyday disparaging messages, which are often ambiguous, carry with them more severe psychological consequences than overt forms of discrimination. However, little is known about the experience of microaggressions and their effects on African American doctoral students, particularly those within the field of psychology. This book sheds light onto the experiences of this group, while also describing ways these individuals may cope with micraggressions within higher education.","Using a research-based approach, this book sheds light onto the experiences of this group, while also describing ways these individuals may cope with micraggressions within higher education.",1709171715,Racial Microaggressions in Higher Education The Doctoral Student Experience
128,"""It Just Weighs in the Back of Your Mind""",Microaggressions in Science,Amy J. Anderson,"Despite significant increases in academic degrees earned in recent decades, underrepresentation in the sciences still remains for women, African-Americans, Latina/os, and Native Americans (National Science Foundation, 2015). According to social cognitive career theory, academic and career development is impacted by contextual factors, such as environmental barriers (Lent, Brown, and Hackett, 1994). Among previously examined factors, discrimination has been shown to be a barrier for individuals throughout their science academic and career development (Lent, Brown, and Hackett, 2000). However, the impact of microaggressions, a subtler form of discrimination, requires further exploration for its potential influence on underrepresented groups in the sciences. To fill the gap within the literature, the current study explored the role of racial and gender microaggressions on science academic and career choices. This study explored the racial and gender microaggressions that prevent diverse representation in the sciences, from the perspectives of youth, graduate students, and faculty who participate in a science support program for Latina/o youth. Three research questions were explored in this study: a) what are the perceived gender and racial/ethnic microaggressions in the sciences? b) what role do gender and racial microaggressions play in science education and careers? c) how do these perceptions of microaggressions vary by race/ethnicity, gender, and age? Qualitative one-on-one in-depth interviews were conducted with 11 youth, 11 graduate students, and 13 faculty members. Interview transcripts were analyzed using a modified grounded theory approach (Charmaz, 2006) and prior taxonomies of microaggressions were used to inform analysis (Sue and others, 2007; Capodilupo and others, 2010). Perceptions of microaggressions fell into four overarching themes: 1) microinsults (including ascriptions of intelligence, assumptions of inferiority), 2) microinvalidations (including invisibility, denial of racism and sexism, restrictive gender roles), 3) gendered microassaults (including hiring discrimination, sexual harassment), and 4) environmental invalidations (including lack of women scientists, lack of scientists of color, lack of role models). Participants reported several ways in which microaggressions impacted their science education career development, including: 1) detrimental to psychological well-being, 2) mobility across science contexts, 3) pressure to prove ability and competence, and 4) sense of social isolation. As suggested by SCCT, these findings support the role of microaggressions as a contextual factor negatively influencing career development. The current study has implications for increasing well-being, retention, and participation of women and underrepresented ethnic/racial groups in the sciences.","Despite significant increases in academic degrees earned in recent decades, underrepresentation in the sciences still remains for women, African-Americans, Latina/os, and Native Americans (National Science Foundation, 2015).",OCLC:1028578820,"""It Just Weighs in the Back of Your Mind"" Microaggressions in Science"
129,School Connectedness as a Moderator Between Racial Microaggressions and Academic Performance for African American High School Students,,Courtney J. Wilson,"Racial microaggressions are subtle, often unconscious, words or actions that demean African Americans (Sue et al., 2007). The impact of racial microaggressions may not be seen, and so it is important to study potential long-term consequences such as academic performance. This study addressed an identified gap in the literature on the relationship between racial microaggressions and academic performance among African American high school students. A quantitative design was used to study the relationship between racial microaggressions and academic performance, and school connectedness as a moderating variable of this relationship. There were 417 high school students who completed the surveys. Of those students, 81 were used for the data analysis in this study because they identified as African American or Black. Results indicated that experience of racial microaggressions (from peers or from school staff) did not correlate with academic performance (GPA). Additionally, school connectedness was not found to moderate this relationship. Female students indicated more experiences with racial microaggressions than male students. Also, school connectedness was correlated with racial microaggressions such that the more racial microaggressions that students reported, the less connected they felt to the school. Furthermore, perceived racial microaggressions by school personnel were correlated with microaggressions by peers, indicating the more experiences students had of microaggressions by adults, the more they had by their peers. These results illustrated the importance of understanding students’ experiences and their environment in the school setting. Counseling implications and areas for future research are addressed and discussed.","Racial microaggressions are subtle, often unconscious, words or actions that demean African Americans (Sue et al., 2007).",OCLC:1037016359,
130,An Examination of Workplace Racial Microaggressions and Their Effect on Employee Performance,,Ronee L. Hunter,,,OCLC:851583888,
132,Qualitative Investigation of Mexican-American Experiences of Racial Microaggressions,,Stephanie Chapman,"Racial microaggressions are the brief, commonplace racial slights and insults that are expressed by Whites against people of color (Sue, Capodilupo et al, 2007). This qualitative study examined previously unexplored area of ethnic-racial microaggressions directed against Mexican-American persons. Through the use of a semi-structured focus group interview, 15 self-identifying Mexican-American university students shared their experiences of microaggressions. Data was collected and analyzed following the guidelines of Consensual Qualitative Research (Hill, Thompson & Williams, 1997), a rigorous method for analyzing qualitative data that involves a team approach in the development and coding of domains and core ideas in order to accurately describe consistencies across cases. Results identified 7 major domains of microaggressions experienced by participants: 1) Assumption of foreigner status, 2) Assumption of criminality, 3) Assumption of inferior social class and/or second class citizenship, 4) Pathologizing cultural values, 5) Invalidation of racial reality, 6) Implied special privileges as a minority group, and 7) Invalidation of interethnic differences. Two additional domains described participant0́9s emotional experiences of racial microaggressions and strategies employed by participants to cope with aggressive events. Results supported broad domains of racial microaggressions previously identified by other research teams in their research of Black American (Constantine, 2007; Sue, Nadal et al. 2008) and Asian-American (Sue, Bucceri, et al., 2007) experiences of racial microaggressions. Group-specific messages of racial microaggressions identified within this study include the assumption of illegal immigrant, messages regarding inferior English language skills, and messages pathologizing Mexican-American cultural values and forms of communication, particularly related to the Spanish language and traditional Mexican cultural values of familismo. This evidence supports the hypothesis first proposed by Sue, Capodilupo et al. (2007) that different racial and ethnic groups are vulnerable to experiencing different forms of racial microaggressions.","Racial microaggressions are the brief, commonplace racial slights and insults that are expressed by Whites against people of color (Sue, Capodilupo et al, 2007).",OCLC:841163353,
133,Second Generation Chicanas in Higher Education,Experiences of Race and Gender Microaggressions,Mayra A. Villarreal,"The present study explores the experiences of sixteen second generation Chicanas with racial and gender based microaggressions at Sacramento State. Microaggressions are subtle, covert, and often unconscious forms of discrimination that demean and/or invalidate an individual's identity or lived experiences because of their position within a marginalized community. The study identifies the types of microaggressions experienced, reactions to these, coping mechanisms developed, and the effects microaggressions have on the participant's identity. Intersectional and multi-racial feminist frameworks are utilized to provide an analysis. By means of in-depth, one-on-one, semi-structured interviews, three forms of microaggressions were uncovered: environmental microaggressions, microinsults, and microinvalidations. Through these microaggressions, discriminatory ideologies that negate and invalidate the lived experiences of these Chicana participants are reproduced at an interpersonal level. However, these microaggressions provide the participants further understanding of their situated lives in multiple narratives and marginality and fuel to become agents of change.",The present study explores the experiences of sixteen second generation Chicanas with racial and gender based microaggressions at Sacramento State.,OCLC:927149171,Second Generation Chicanas in Higher Education Experiences of Race and Gender Microaggressions
135,Managing Microaggressions,A Study on the Effect of Microaggressions on Multiracial College Students,Brittany Lashae Hunt,"The purpose of this study is to raise awareness about the experiences multiracial students face on college campuses specifically working to understand how multiracial students experience and manage microaggressions on campus in their daily lives. Within this I will take into account their experiences on campus as a framework for the types of microaggressions they are facing because this act of racism can be known or unknown to the victim. A microaggression is a form of racism that is “brief and commonplace daily verbal, behavioral, or environmental indignities, whether intentional or unintentional, that communicate[s] hostile, derogatory, or negative racial slights and insults to the target person or group” (Sue, Capodilupo, Torino, Bucceri, Holder, Nadal & Esquilin, 2007, p. 273). In my research I am looking to answer the following research questions: (a) what are the experiences of multiracial students on a predominantly White campus, specifically with regards to microaggressions? (b) How do multiracial students manage these microaggressions? Currently there is research on what types of microaggressions multiracial students face and what they look like, but there is little on how they manage microaggressions.",The purpose of this study is to raise awareness about the experiences multiracial students face on college campuses specifically working to understand how multiracial students experience and manage microaggressions on campus in their daily ...,OCLC:966350893,Managing Microaggressions A Study on the Effect of Microaggressions on Multiracial College Students
136,"Impact, Mechanisms, and Individual Variations in the Stress Response to Racial Microaggressions Among Asian Americans",,Gloria Wong-Padoongpatt,"People of Color (POC) experience racial microaggressions as racism-related slights and invalidations (D.W. Sue, 2009) perpetrated by the racially privileged (White Americans). POC report racial microaggressions as the most commonly experienced form of racial discrimination (D.W. Sue, 2010a). Race theorists claim that the racial nature of microaggressions marginalizes POC leading to stress (D.W. Sue, 2010a). Researchers are interested in examining the negative impact of racial microaggressions on psychological and physical health, yet only a few studies have uncovered the mechanisms by which these incidents affect mental and physical well-being. Furthermore, researchers are only beginning to explore whether certain personality traits exacerbate the stressful effect of racial microaggressions. The current study conceptualized racial microaggressions as a stressor and used the transactional model of stress (Lazarus & Folkman, 1984) to address the major gaps in research. Consequently, this study 1) experimentally tested the racial nature of the microaggression event to determine whether a White perpetrator would elicit more stress compared to an Asian American perpetrator, 2) examined threats to self-concept as possible mediators of the microaggression-generated stress, and 3) investigated individual differences in anger tendency and sensitivity to rejection as moderators of the racial microaggression effect. Findings indicated that race of the perpetrator had an impact on stress in that a White perpetrator elicited more stress compared to an Asian American perpetrator. In the meditation analyses, experience with a White perpetrator, compared to an Asian American perpetrator, lowered implicit self-esteem, which resulted in more stress. Lastly, a three-way interaction between gender, perpetrator race, and rejection sensitivity was found. Implications for the well-being of marginalized individuals and intergroup interactions across social hierarchies are discussed.","People of Color (POC) experience racial microaggressions as racism-related slights and invalidations (D.W. Sue, 2009) perpetrated by the racially privileged (White Americans).",136920129X,
138,Coping with Racial Microaggressions,An Exploration of Latina/o College Students Attending a Hispanic Serving Institution,Rebecca Gonzalez,"The negative ramifications of racial microaggressions are a burgeoning area of empirical inquiry; however, there is a paucity of research that examines how Latinas/os experience and cope with racial microaggresions. Thus, this qualitative study explored the emotional consequences of exposure to racial microaggressions and coping skills utilized to combat these discriminatory experiences. Seventeen participants who were attending a Hispanic Serving Institution in the Southwest were interviewed using semi-structured interviews. A constructivism grounded theory approach informed the conceptualization, execution and analysis of this study. Emerging themes based on participant responses included: Societal and Cultural Factors that Influence Discrimination Against Latina/os, Perception of Campus Racial Climate, Experience of Racial Microaggressions, Appraisal of Microaggressions, Emotional Reactions to Racial Microaggressions, Coping with Racial Microaggressions, and Recommendations for Creating a Safer Racial Climate for Latina/os. A theory was proposed that explained how Latina/o students cope with racial discrimination/racial microaggressions at a Hispanic Serving Institution. The results are discussed using a Critical Race Theory lens. Implications and future directions are presented.","Emerging themes based on participant responses included: Societal and Cultural Factors that Influence Discrimination Against Latina/os, Perception of Campus Racial Climate, Experience of Racial Microaggressions, Appraisal of ...",OCLC:957239243,Coping with Racial Microaggressions An Exploration of Latina/o College Students Attending a Hispanic Serving Institution
139,Racial Microaggressions and Its Impact on Supervisees of Color in Cross-racial Counseling Supervision,,Niyatee Sukumaran,"Supervision is considered to be a primary method of clinical instruction (Holloway, 1992), which serves as a foundation to train supervisees and to ensure the provision of appropriate and culturally sensitive client care. While the representation of supervisees of color in the field of psychology is continuing to increase, it appears important to recognize multicultural issues (e.g., racial microaggressions) as it exists and/or emerges in cross-racial supervision. Although less is known about how racial microaggressions influence supervisees of color, the purpose of this study was to investigate how experiences of racial microaggressions affects the supervisory working alliance, their perceptions of their supervisors’ multicultural competence, and supervisee outcome variables (i.e., counseling and multicultural counseling self-efficacy) in cross-racial supervision. The results showed that perceived supervisor multicultural competence partially mediated the relationship between racial microaggressions and supervisory working alliance. Both, supervisory working alliance and perceived supervisor multicultural competence fully mediated the relationship between racial microaggressions and multicultural counseling self-efficacy. However, no support for the mediation was found in this sample for counseling self-efficacy. Limitation, implications and future directions are discussed.","Supervision is considered to be a primary method of clinical instruction (Holloway, 1992), which serves as a foundation to train supervisees and to ensure the provision of appropriate and culturally sensitive client care.",OCLC:957157625,
140,African Americans and Racial Microaggressions,"Coping, Psychological Well-being, and Physical Health",,"The present study investigated microaggressions experienced by African Americans, the correlation to psychological and physical health outcomes for those who report microaggressions, and coping as potential buffer to the effects of these events. A correlational analysis and multiple regression analysis examined these relationships for a sample of 268 African American men and women. The results indicated support for the theory on the deleterious effects of microaggressions with the relationship between microaggressions and outcomes for psychological and physical health among African Americans. The study contributes to the literature on microaggressions by providing evidence that these encounters are harmful to African Americans. However, the moderation model did not support coping as a buffer to the effects of racial microaggressions, and it is suggested that future research investigate factors that will effectively mitigate the injurious effects of microaggressions.","The present study investigated microaggressions experienced by African Americans, the correlation to psychological and physical health outcomes for those who report microaggressions, and coping as potential buffer to the effects of these ...",OCLC:929921347,"African Americans and Racial Microaggressions Coping, Psychological Well-being, and Physical Health"
141,Racial Microaggressions in Everyday Work Life of Black Special Educators in PK-12 Schools,,Mishka-Sheree Yaneke Walker-Anderson,"The racialized job experiences of Black special educators are often not the dominant narrative when explaining their underrepresentation in the field of special education. Currently, African American teachers make up only 8.5% of the special education teaching staff in U.S. public schools, while African American students comprise 18.5% of students with disabilities served under the Individuals with Disabilities Education Act. Scholars have not focused on the quotidian racial microaggressions that African American prekindergarten through Grade 12 (PK-12) special educators encounter and the impact on their work, recruitment, retention, and underrepresentation. Research has suggested hiring and retaining African American special educators may improve African American student outcomes, by reducing special education disproportionality, high school dropout rates, academic underachievement, underemployment, and incarceration and by improving school performance and graduation rates. This dissertation was a case study in a northeastern major metropolitan city and suburb of 13 Black special educators' experiences with racial microaggressions, using a framework and methodology of dis/ability critical race studies and Afro pessimism. Three research questions guided this dissertation: What are the racial microaggressions African American special educators report they encounter at their PK-12 schools? How do racial microaggressions affect African American special educators' classroom teaching, job performance, job satisfaction, and retention? How do African American special educators cope with racial microaggressions at their workplace? Individual interviews indicated all of the Black special educators endured racial microaggressions, and most experienced a coupling of racism and ableism. The study provides evidence that racial and disability microaggressions are a constant occurrence in the work life of Black special educators",The study provides evidence that racial and disability microaggressions are a constant occurrence in the work life of Black special educators,OCLC:1246321570,
142,Black Female Graduate Students' Experiences of Racial Microaggressions at a Southern University,,Kendra Elizabeth Shoge,"Researchers have found that microaggressions can cause psychological distress, frustration, avoidance, confusion, resentment, hopelessness, and fear. Previous studies from Southern universities have addressed the adjustment experiences of Black women in graduate programs, obstacles faced by Black women in higher education and strategies to overcome those obstacles, and factors associated with Black student motivation and achievement. Discrimination and racism are factors identified in those studies, however, there is little research on the experiences of Black women in graduate programs and the impact of racial microaggressions on them. The purpose of this study was to examine Black female graduate students' experiences of racial microaggressions at a Southern university. Five women participated in the study, and a phenomenological research design was used to identify individual and group themes. These themes revealed the impact of racial microaggressions on the participants, as well as the campus climate. Findings suggest training opportunities and mentor programs that would improve experiences for Black female graduate students on campus.",The purpose of this study was to examine Black female graduate students&#39; experiences of racial microaggressions at a Southern university.,OCLC:1140906249,
225,Transgender Rights,,Martin Gitlin,"Transgender rights are not just limited to bathroom bills, though the controversial issue has dominated news headlines for the past few years. What basic human rights are afforded to transgender and nonbinary U.S. citizens is a mystery to many. The viewpoints in this resource lay out the issues in a concise and informative way, offering measured arguments as to why trans Americans are a protected class, as well as arguments for why they don't need special treatment. Workplace discrimination, marriage equality, and adoption, as they relate to transgender identities, are also touched upon.","Transgender rights are not just limited to bathroom bills, though the controversial issue has dominated news headlines for the past few years.",9781534502178,
227,Transgender Rights,From Obama to Trump,Susan Gluck Mezey,"This book examines the transgender community's struggle for equality over the last decade, comparing the Obama and Trump administrations' stance on transgender rights policies. Transgender rights claims have assumed an important place on the nation's policymaking agenda as society has increasingly become aware that transgender individuals are subject to discrimination because they do not conform to the norms of the gender identity they were assigned at birth. With Congress virtually absent from the policymaking process, the executive branch and the federal courts have been chiefly responsible for determining the parameters of transgender rights policies. The study contrasts the Obama administration's efforts to expand equal rights for the transgender community, especially in employment, education, and military service, with the Trump administration's determination to rescind the Obama-era initiatives. In their efforts to do so, Trump administration officials have urged the courts to reverse decisions extending the benefit of civil rights laws and constitutional guarantees to the transgender community, arguing that gender identity is outside the scope of these protections. Although most federal courts have seem inclined to accept the Obama administration's perspective on transgender rights, ultimately, this will be a matter for the U.S. Supreme Court to decide. The book is appropriate for students, scholars, and interested general readers.","This book examines the transgender community&#39;s struggle for equality over the last decade, comparing the Obama and Trump administrations&#39; stance on transgender rights policies.",081535939X,Transgender Rights From Obama to Trump
229,The Remarkable Rise of Transgender Rights,,Jami K. Taylor,"While medical identification and treatment of gender dysphoria have existed for decades, the development of transgender as a “collective political identity” is a recent construct. Over the past twenty-five years, the transgender movement has gained statutory nondiscrimination protections at the state and local levels, hate crimes protections in a number of states, inclusion in a federal law against hate crimes, legal victories in the courts, and increasingly favorable policies in bureaucracies at all levels. It has achieved these victories despite the relatively small number of trans people and despite the widespread discrimination, poverty, and violence experienced by many in the transgender community. This is a remarkable achievement in a political system where public policy often favors those with important resources that the transgender community lacks: access, money, and voters. The Remarkable Rise of Transgender Rights explains the growth of the transgender rights movement despite its marginalized status within the current political opportunity structure.","This is a remarkable achievement in a political system where public policy often favors those with important resources that the transgender community lacks: access, money, and voters.",9780472124275,
231,Transgender Rights and Issues,,Andrea Pelleschi,"Transgender Rights and Issues covers the growing acceptance of the transgender community throughout the years, the discrimination transgender men and women face each day, and how United States and other countries are making changes to fix these issues. Aligned to Common Core Standards and correlated to state standards. Essential Library is an imprint of Abdo Publishing, a division of ABDO.","Transgender Rights and Issues covers the growing acceptance of the transgender community throughout the years, the discrimination transgender men and women face each day, and how United States and other countries are making changes to fix ...",9781680771145,
233,Transgender Rights,Striving for Equality,The New York Times Editorial Staff,"In recent years, the public's awareness and understanding of the transgender community has grown drastically, from near total ignorance to a nuanced and complex approach to trans individuals and their rights. This collection of articles features reporting, opinion pieces, and first-person accounts that capture the evolving conversation about issues related to the trans community. With coverage of the Texas and North Carolina ""bathroom bills,"" the debate over the inclusion of trans people in the military, and tales of various struggles and successes in the courts, this book highlights the obstacles this growing movement faces as well as its successes.","This collection of articles features reporting, opinion pieces, and first-person accounts that capture the evolving conversation about issues related to the trans community.",9781642820621,Transgender Rights Striving for Equality
235,The Riddle of Gender,"Science, Activism, And Transgender Rights",Deborah Rudacille,"A close-up look at the transgender movement and what it means in terms of our basic attitudes toward gender identity examines both historical and contemporary considerations, profiling people whose bodies and psyches fall between the regular boundaries of male and female and examining such issues as the ambivalent relationship between the gay and transgender communities. Reprint. 10,000 first printing.","A close-up look at the transgender movement and what it means in terms of our basic attitudes toward gender identity examines both historical and contemporary considerations, profiling people whose bodies and psyches fall between the ...",9780385721974,"The Riddle of Gender Science, Activism, And Transgender Rights"
237,Organizing for Transgender Rights,"Collective Action, Group Development, and the Rise of a New Social Movement",Anthony J. Nownes,"Illuminates transgender activists' successful strategies to organize for social and political change in the US. In recent years, gender-variant people—including those we now call transgender people—have won public policy victories that had previously seemed unwinnable: the American Psychiatric Association replaced the term “gender identity disorder” with “gender dysphoria” in the Diagnostic and Statistical Manual of Mental Disorders, the Department of Justice announced that discrimination on the basis of gender identity constituted sex discrimination, and the Department of Health and Human Services decided that it would no longer stop Medicare from covering gender reassignment surgery. What accounts for these and other victories? Anthony J. Nownes argues that a large part of the answer lies in the rise of transgender rights interest groups in the United States. Drawing on firsthand accounts from the founders and leaders of these groups, Organizing for Transgender Rights not only addresses how these groups mobilized and survived but also illuminates a path to further social change. Nownes shows how oppressed and marginalized people can overcome the barriers to collective action and form viable organizations to represent their interests even when their government continues to be hostile and does not. Anthony J. Nownes is Professor of Political Science at the University of Tennessee, Knoxville. He is the author of Interest Groups in American Politics: Pressure and Power, Second Edition and Total Lobbying: What Lobbyists Want (and How They Try to Get It).",What accounts for these and other victories? Anthony J. Nownes argues that a large part of the answer lies in the rise of transgender rights interest groups in the United States.,9781438473024,"Organizing for Transgender Rights Collective Action, Group Development, and the Rise of a New Social Movement"
239,Transforming Prejudice,"Identity, Fear, and Transgender Rights",Melissa R. Michelson,"Since the mid-1990s, there has been a seismic shift in attitudes toward gay and lesbian people, with a majority of Americans now supporting same-sex marriage and relations between same-sex, consenting adults. However, support for transgender individuals lags far behind; a significant majority of Americans do not support the right of transgender people to be free from discrimination in housing, employment, public spaces, health care, legal documents, and other areas. Much of this is due to deeply entrenched ideas about the definition of gender, perceptions that transgender people are not ""real"" or are suffering from mental illness, and fears that extending rights to transgender people will come at the expense of the rights of others. So how do you get people to rethink their prejudices? In this book, Melissa R. Michelson and Brian F. Harrison examine what tactics are effective in changing public opinion regarding transgender people. The result is a new approach that they call Identity Reassurance Theory. The idea is that individuals need to feel confident in their own identity before they can embrace a stigmatized group like transgender people, and that support of members of an outgroup can be encouraged by affirming the self-esteem of those targeted for attitude change. Michelson and Harrison, through their experiments, show that the most effective messaging on transgender issues meets people where they are, acknowledges their discomfort without judgment or criticism, and helps them to think about transgender people and rights in a way that aligns with their view of themselves as moral human beings.","So how do you get people to rethink their prejudices? In this book, Melissa R. Michelson and Brian F. Harrison examine what tactics are effective in changing public opinion regarding transgender people.",9780190068905,"Transforming Prejudice Identity, Fear, and Transgender Rights"
