,items__volumeInfo__title,items__volumeInfo__subtitle,items__volumeInfo__authors__001,items__volumeInfo__description,items__volumeInfo__industryIdentifiers__identifier,title
549,"Your Best Friend Is Non-Binary, And That's Okay!",,Bert Brazier,"Welcome to the And That's Okay! series of books. These books are here for you to give to the person you are coming out to, as a way of helping them have something tangible to hang on to, and to help them though this. We don't often think about the people we are coming out to, forgetting that this may be a struggle for them too. Society for so long has stigmatized those who aren't ""normal"" that it may take some help for those you are coming out for to be able to cope. Well this book is here to help with that. It gives them hints on how to talk to you, what not to say, how to best cope, and PLENTY of references to places nearby to seek more information on how to help you through this transition in your life in a positive and productive way. If you're finding this book, and you like the idea but it doesn't specifically fit you, search ""And That's Okay!"" on Amazon and Kindle, there are PLENTY of other variations that we have out, and more coming soon. Live your truth, be who you are.",1089357575,
557,Non Binary Trans People Are Valid And Beautiful,Blank Lined Notebook ( Trans ) 3,Hadley Maddox Da,"Only $6.99! Perfect Journal, Diary, Notebook - Amazing design and high quality cover and paper. - Matte Cover. - Perfect size 6x9"" - No Spiral - Use it as a journal, note taking, composition notebook, makes a great gift!",1099737087,Non Binary Trans People Are Valid And Beautiful Blank Lined Notebook ( Trans ) 3
563,Non-binary,A Guided Tour of Society and the Genderqueer,Parker Clayton,"Autobiographical exploration of gender, being transgender, society, and the media. Includes definitions of key vocabulary.",OCLC:1079366350,Non-binary A Guided Tour of Society and the Genderqueer
567,Understanding Trans and Non-binary Individuals' Needs in a Therapeutic Context,A Workshop for Therapists Working with Trans/non-binary Clients,Sam Sawyer Silverman,"Most transgender (trans) and non-binary individuals face tremendous challenges accessing quality mental health services. Trans people and non-binary people identify with a gender other than the one associated with the sex assigned to them at birth (Erickson-Schroth, 2014). The Williams Institute (2011) estimates that there are approximately 1.4 million trans people in the US, and over 75% of them seek therapy (Budge, Katz-Wise, Tebbe, Schneider, and Rodriquez, 2013). However, Bidell (2005) finds that few therapists receive any information at all about working with trans or non-binary clients. In fact, most therapists receive no training on working with trans/non-binary clients in their schools, traineeships, or internships and go on to become supervisors and teachers who do not train their supervisees (Bidell, 2005). As a result, Budge et al. (2013) find that many trans/non-binary individuals either fear harassment upon coming to therapy, have negative experiences when they come to therapy, or both. The American Association for Marriage and Family Therapy (AAMFT) (2012) holds therapists to a set of ethical guidelines. One guideline is for therapists to avoid discrimination, specifically including discrimination based on gender identity. However, they also require that therapists do not practice outside of their scope of competence (AAMFT, 2012). As a result, therapists must educate themselves about trans individuals until systemic change can occur to include discussion of therapy with trans/non-binary clients as a standard part of training. This paper outlines a workshop created to address this disparity of knowledge and the limited availability of trans-friendly therapeutic care. This workshop will combine three elements: a lecture on research (terminology, challenges trans people face, standards of care, protective factors), a panel of trans individuals (to allow therapists to confront biases/misinformation and to provide trans people a platform to speak about their needs and experiences that therapists can hear), and a vignette with discussion groups (where therapists will get a chance to put into practice the knowledge they have gained). The workshop will also provide therapists with essential resources for trans people in their community and to assist themselves and their colleagues in learning more about therapeutic work with trans clients.",OCLC:1249031442,Understanding Trans and Non-binary Individuals' Needs in a Therapeutic Context A Workshop for Therapists Working with Trans/non-binary Clients
570,Searching for Safe Spaces,Afro-Caribbean Women Writers in Exile,Myriam J. A. Chancy,"As they rework traditional literary forms, artists such as Joan Riley, Beryl Gilroy, M. Nourbese Philip, Dionne Brand, Makeda Silvera, Audre Lorde, Rosa Guy, Michelle Cliff, and Marie Chauvet give voice to Afro-Caribbean women's alienation and longing to return home. Whether the return home is realized geographically or metaphorically, the poems, fiction, and film considered in this book speak boldly of self-definition and transformation.",1566395402,Searching for Safe Spaces Afro-Caribbean Women Writers in Exile
572,The Rise of Victimhood Culture,"Microaggressions, Safe Spaces, and the New Culture Wars",Bradley Campbell,"The Rise of Victimhood Culture offers a framework for understanding recent moral conflicts at U.S. universities, which have bled into society at large. These are not the familiar clashes between liberals and conservatives or the religious and the secular: instead, they are clashes between a new moral culture—victimhood culture—and a more traditional culture of dignity. Even as students increasingly demand trigger warnings and “safe spaces,” many young people are quick to police the words and deeds of others, who in turn claim that political correctness has run amok. Interestingly, members of both camps often consider themselves victims of the other. In tracking the rise of victimhood culture, Bradley Campbell and Jason Manning help to decode an often dizzying cultural milieu, from campus riots over conservative speakers and debates around free speech to the election of Donald Trump.",9783319703299,"The Rise of Victimhood Culture Microaggressions, Safe Spaces, and the New Culture Wars"
574,"Microaggressions, Safe Spaces, and Trigger Warnings",,Gary Wiener,"Despite the name, trigger warnings have nothing to do with gun control, and safe spaces don't necessarily mean state-of-the-art panic rooms. Instead, these terms and the phrase ""microaggressions"" relate to preserving and protecting one's emotional safety. In this volume, readers will learn about the increased demand for sensitivity in social settings, in literature and media, and on the Internet. They will also encounter the opposing view, that we, as a society, are becoming too fragile and don't need figurative bulletproof vests for every occasion.",9781534502314,
576,No Safe Spaces,"Re-casting Race, Ethnicity, and Nationality in American Theater",Angela C Pao,"""No Safe Spaces opens up a conversation beyond narrow polemics . . . Although cross-racial casting has been the topic of heated discussion, little sustained scholarship addresses both the historical precedents and theoretical dimensions. Pao illustrates the tensions and contradictions inherent not only in stage representations, but also in the performance of race in everyday life. A wonderful book whose potential readership goes well beyond theater and performance scholars."" ---Josephine Lee, University of Minnesota ""Non-traditional casting, increasingly practiced in American theater, is both deeply connected to our country's racial self-image(s) and woefully under-theorized. Pao takes on the practice in its entirety to disentangle the various strands of this vitally important issue."" ---Karen Shimakawa, New York University No Safe Spaces looks at one of the most radical and enduring changes introduced during the Civil Rights era---multiracial and cross-racial casting practices in American theater. The move to cast Latino/a, African American, and Asian American actors in classic stage works by and about white Europeans and Americans is viewed as both social and political gesture and artistic innovation. Nontraditionally cast productions are shown to have participated in the national dialogue about race relations and ethnic identity and served as a source of renewed creativity for the staging of the canonical repertory. Multiracial casting is explored first through its history, then through its artistic, political, and pragmatic dimensions. Next, the book focuses on case studies from the dominant genres of contemporary American theater: classical tragedy and comedy, modern domestic drama, antirealist drama, and the Broadway musical, using a broad array of archival source materials to enhance and illuminate its arguments. Angela C. Pao is Associate Professor of Comparative Literature at Indiana University. A volume in the series Theater: Theory/Text/Performance",9780472027972,"No Safe Spaces Re-casting Race, Ethnicity, and Nationality in American Theater"
578,Safe Spaces,Making Schools and Communities Welcoming to LGBT Youth,Annemarie Vaccaro,"• More than 80 real-life narratives, drawn from the stories of 100 people, including students, family members, educators, and community leaders • A ""Queerossary"" of dozens of key terms, including multiple definitions for terms with specific meanings within the LGBT community • A bibliography of academic, policy, and news materials related to LGBT issues • More than 50 action steps readers can use to create safe spaces for LGBT youth • Reflection Points provide questions and statements that offer readers an opportunity to reflect upon the ways a particular topic or issue relates to their lives • An appendix listing LGBT resources",9780313393686,Safe Spaces Making Schools and Communities Welcoming to LGBT Youth
580,No Safe Spaces,,Dennis Prager,"YOU HAVE THE RIGHT TO TO REMAIN SILENT Terrifying violence on college campuses across America. Students lashing out at any speaker brave enough to say something they disagree with. Precious snow flakes demanding “Safe Spaces” to protect them from any idea they haven’t heard from their liberal professors. In this book and the accompanying movie, Dennis Prager, Mark Joseph, and Adam Carolla expose the attack on free speech and free thought. It began in the universities, but—fair warning—it’s coming to your neighborhood and your workplace. “No Safe Spaces is a film every American should see. I could barely move when it was over. Powerful, emotional, and a call to action for anyone worried about the intellectual fascism happening in this country. A brave, timely, and important film.” —MEGYN KELLY, former FOX News anchor and host of Megyn Kelly Today “There is no free speech in America for free thinkers! You can have free speech in America but only if you say what everybody else agrees with. It’s not enough to ‘live and let live’ now. The psycho-elite believe ‘silence is violence’ and you must actively promote what THEY want no matter how vile or reprehensible it is to you. George Orwell lives! They should’ve called Orwell ‘Nostradamus’ because his most frightening prophecies have come to pass, as you will witness in No Safe Spaces!” —MANCOW MULLER, radio phenomenon “An excellent film, the best I’ve seen on the subject of free speech. I especially like Dennis’s line, ‘They have to believe we are evil; otherwise they’d have to debate us.’ Perfect!” —CAL THOMAS, America’s #1 syndicated columnist",9781621579823,
582,Safe Spaces,Human Rights Education in Diverse Diverse,Cornelia Roux,"This book examines the crucial issues affecting Human Rights Education in contexts of culture, religious and societal diversity. It exhibits an impressive scholarly achievement, capturing and combining the insights of both established academics and emerging researchers. Each author succeeds in distilling the knowledge of their particular fields of interest, as well as conveying the essence of their intuitive understanding and the richness of the context. This book considers a variety of connected content and methodological issues in three major sections: ‘Philosophical and policy perspectives’, ‘Gender discourses: diverse perspectives’ and ‘Discourses on narratives as safe spaces’. The Edition is further strengthened by allowing international reviewers the opportunity of engaging with the contributors in the Introduction and Conclusion, an innovative departure from conventional formats and which will provide a global perspective to the readers. The focus of the various chapters succeeds in establishing both a foundation and platform for dialogue surrounding human rights and human rights education in modern policy and governance. Aptly named “Safe Spaces”, the Edition offers in-depth and credible (“safe”) nuances (“spaces”), in terms of the somewhat reified concept of human rights, at a time when human rights remains a highly topical and contested international issue. As such, the book imparts an immense scope of theoretical and empirical perspectives, reflected by the distinguished intellectuals who navigate the terrain of their respective disciplines with profound erudition. This book represents a collaborative effort of immeasurable value. This exemplary edition is both timeous, and will prove timeless.",9789460919367,Safe Spaces Human Rights Education in Diverse Diverse
584,Reasons to Have Safe Spaces,,Kevin F. Cavanaugh,"Safe spaces are the brainchild of liberals and socialist-progressives in universities across America. Kevin Cavanaugh summarizes the best defenses for this movement in his 100 page book...all blank. Critics are calling the book ""Monumental,"" ""Plagiarism,"" ""Oh my heck! What the...!"" and ""A fundraising gimmick!"" Sure to be loved by left-leaning university snowflakes everywhere.",1545204462,
586,Disruptive Essays,There Are No Safe Spaces in This Book!,William Gairdner,"There Are No Safe Spaces In This Book! WILLIAM GAIRDNER's Disruptive Essays is only for those who enjoy tough arguments on politically-incorrect topics, from the failure of socialism, to the falsities of feminism, to the folly of gay marriage, and many other popular illusions. Readers will come face to face with the fatal weaknesses of democracy.",1988360269,Disruptive Essays There Are No Safe Spaces in This Book!
588,SLAY,"the Black Panther-inspired novel about virtual reality, safe spaces and celebrating your identity",Brittney Morris,"'We are different ages, genders and traditions ... but tonight we all SLAY' Black Panther meets Ready Player One. A fierce teen game developer battles a real-life troll intent on ruining the Black Panther-inspired video game she created and the safe community it represents for black gamers. By day, seventeen-year-old Kiera Johnson is a college student, and one of the only black kids at Jefferson Academy. By night, she joins hundreds of thousands of black gamers who duel worldwide in the secret online role-playing card game, SLAY. No one knows Kiera is the game developer - not even her boyfriend, Malcolm. But when a teen in Kansas City is murdered over a dispute in the SLAY world, the media labels it an exclusionist, racist hub for thugs. With threats coming from both inside and outside the game, Kiera must fight to save the safe space she's created. But can she protect SLAY without losing herself?",9781444951738,"SLAY the Black Panther-inspired novel about virtual reality, safe spaces and celebrating your identity"
590,Creating Safe Spaces Through Mutual Affirmation,,Michael Wallace,"4-H activities including 4-H clubs, camps, fairs, and after school programs are intended to be spaces where youth have the opportunity to develop belonging, mastery, independence, and generosity. However, developing positive connections, engaging in learning, exhibiting individual identity, and understanding one's value to a community can be difficult tasks for youth who often feel left out or left behind. Whether exclusion happens intentionally or unintentionally, it has repercussions not only for the youth but for the entire group. 4-H volunteers and staff can support and empower youth by carefully examining their biases and preferences, as well as those that exist collectively in their groups. They can demonstrate openness and non-judgmental communication. Providing youth with authentic opportunities to express differences in a safe and supportive environment models effective leadership while building healthier communities and developmental supports.",OCLC:1021887546,
591,?Safe? Spaces?,Vegan Ideologies and Farm Animal Sanctuaries,Angela Dawn Parker,"Farm animal sanctuaries in North America are spaces that have been created by humans who want to provide refuge for farm animals who are not normally considered to be companion animals. Within these ostensibly safe spaces, humans and the rescued animals can develop a relationship similar to human-human friendship. These spaces may be free of violence, but humans still control the animals, thus limiting the choices of the non-humans and reinforcing hierarchical relations (Emel, et al., 2015). Are sanctuaries safe spaces? What is a safe space for domesticated animals? Do safe spaces exist? To answer these questions, this thesis is an exploratory study of two farm animal sanctuaries in Eastern Ontario. Because the concept of safe spaces for animals is novel in the academic literature, this thesis builds from existing definitions of safe spaces for humans: spaces that are free of control, protected from outside society and places where unspoken hierarchies can be challenged (Evans & Boyt, 1992; Gamson, 1996; Roestone Collective, 2014). The thesis also draws on a modified version of Rhoda Wilkie’s (2005) concept of ?attached attachment?, linking this concept to vegan ideologies and placing impartialness towards sentient beings at one end of the spectrum and emotional concern at the other end. Wilkie’s farmer-animal associations are employed using a slightly different angle, questioning if animal sanctuaries can be considered safe spaces if volunteers do not exhibit an ?attached attachment? with the animals. Using theoretical insights developed in the field of sociology, geography, environmental studies and ethology, this research will contribute to animal geography as a grounded perspective on farm sanctuaries and safe spaces, two topics that have been largely overlooked. The findings of this research describe farm animal sanctuaries and the people who care for the animals within these spaces. The research finds that vegan ideologies tend to play a role in the foundations of sanctuaries; however, they do not shape all sanctuary spaces. The research also finds that farm sanctuaries may be free of violence, but the animals are still controlled by humans. The safeness is limited at sanctuaries due to the hierarchical divide. This thesis concludes that farm animal sanctuaries are indeed safe spaces for animals, but with limitations.",OCLC:1114285927,?Safe? Spaces? Vegan Ideologies and Farm Animal Sanctuaries
592,The Comfort Zone and Other Safe Spaces,,Tom Over,"We live in anxious times, you and I, desperately uncertain times. An era in which governments behave irrationally. Diseases ravage the populous. And internet culture threatens to change who we really are. Modern life, for many, is one giant trigger warning. You need a place of sanctuary, a refuge from the chaos - so follow me now, into The Comfort Zone and Other Safe Spaces. In the Zone nothing is what it seems. Houses defy the laws of nature while bodies become portals to impossible worlds. Viruses harbour mystifying enigmas and technologies incite the most subversive of desires. Unfathomable encounters lurk both beneath the waves and between the stars. Even birth and death, once knowable certainties, are here warped beyond all recognition. In his debut collection, Tom Over pushes the boundaries of genre storytelling into startling new realms. From transgressive weird fiction to 80s-inspired splatterpunk, from surreal dreamscapes to body horror nightmares. Exploring both earthbound fears and uncharted cosmic terror, these stories will lure you into spaces that, upon inspection, may prove not safe after all... - ""Tom Over shows no bounds in how far he's willing to go with the absurd and grotesque and I love him for it. He is a tightrope walker of a writer, balancing horror and pitch black humour with literary flare. Reading this book was the most fun I've had in a while. I loved these stories. I love this collection.""- Philip LoPresti, author of The Things We Bury - ""...Safe Spaces is conclusive evidence that Tom Over is the new heir to the throne of nihilism and chaos. A future transgressive classic!""- Chris Kelso, author of The DREGS Trilogy - ""Discomfiting. Unsafe. Grotesque. Night after night, these stories invaded my dreams."" - Gregor Xane, author of The Hanover Block - ""Inventive, transgressive, and bristling with dark life, Tom Over's The Comfort Zone and Other Safe Spaces is an auspicious debut-it'll have you turning on all the lights, laughing, wincing, asking yourself if he'll GO THERE and discovering with gratitude that yes, he will in fact GO THERE...There and Beyond.""- Matthew M. Bartlett, author of Gateways to Abomination.",9798648983014,
593,Christian Safe Spaces,Is the Church Hiding from the Real World?,Jason L. Fulmer,"For those who embrace them, safe spaces seem to provide a place of comfort, ease, familiarity, and security. For others, they represent mental and emotional weakness, lack of maturity, a sense of entitlement, and an overall inability to cope with what is going on in the ""real world.""",1548684937,Christian Safe Spaces Is the Church Hiding from the Real World?
595,Seeking Safe Spaces,The Impact of Campus Climate on College Choice,Billy J. Hensley,"This study examined the methods and markers queer students use to evaluate a university climate as an outsider during the admission process as well as the means they use to become a member of a particular campus community. The multifaceted results of this dissertation highlight students' exploration of the complex notion of safety as a method of interpersonal discovery as well as a process for choosing specific campus spaces. Particularly, the time these students spent choosing a college, as well as the time they spent in relationship with the college campus climate, demonstrated the significant social and psychological impact a campus has upon the students that enroll. The findings of this study highlight particular assertions that demonstrate: that students construct means for feeling safe to hide, explore, and express their sexual orientation on campus; that LGBTQ students often keep part of their authentic selves out of relationships in order to retain the relationships that are available to them; and an emergent discussion that highlights that the inability to find self and be authentic in the classroom has significant impacts on learning. By using qualitative and action research methods, this study was able to highlight queer students' subjective characterizations of safety and how it allowed them a broad range of possibilities-from an environment's ability to encourage a student to hide their sexuality to the opposite extreme that allows for an open exploration of sexuality. This research also emphasizes the impact made on student learning, social development, and relational competence. Specifically, for students to experience the full and broad impact of the college campus, there must be a two-way expression of thoughts and feelings where everyone's experience is broadened and deepened. This work also demonstrates that while some students, despite a negative environment, do find resilience and relationships in certain spaces on campus, many students, due to the obstacles highlighted in this study, are unable to navigate the path toward finding positive, inclusive academic and campus connections. If students have spaces that are safe-where queer students are openly accepted-then they will not have to spend so much effort creating and finding safe spaces. The data presented in this study demonstrate the impact of safety not only on college choice but also on the ability to authentically integrate into a campus climate. The implications of this work underscore the power of, and need for, well thought out and inclusive space; fundamentally, safe spaces come about when they are designed by a broad range of LGBTQ students that fully represent inclusive voices-when people reexamine what they think we know about safety, they then find the means to construct safe space that serves all members of the community.",OCLC:428979333,Seeking Safe Spaces The Impact of Campus Climate on College Choice
596,No Safe Spaces,Stories of a Young Marine in Vietnam,Anthony H. Johnson,"A collection of true stories - including the #1 best sellers, Ambush at the Waterfall, and Overrun. The author joined the Marines in 1966 at the age of 17 and arrived in Vietnam a year later, during the height of the war, when the casualty rate in a Marine rifle company was approaching 85 percent. The gripping accounts of ambushes in the jungle, firefights in rice paddies, and night watches in listening posts. There is humor, horror, sadness at the loss of friends and primal fear. There is also bravery. During the entire Vietnam war, only one platoon in the US Marine Corps was awarded the Meritorious Unit Citation. The engagement that brought about that distinction resulted in the members of that platoon being awarded a Medal of Honor, a Navy Cross, three Silver Stars, and a number of Bronze Stars. You will feel as if you were present when an understrength squad attacked an enemy force that outnumbered them fifteen to one, in order to prevent a rocket attack against the airbase in Da Nang. You will meet the young men, most of them still in their teens, who fought that brutal war. There were no safe spaces.",1733617701,No Safe Spaces Stories of a Young Marine in Vietnam
598,NYPD,The Way Things Were: No Revisionist History. No Safe Spaces. No Apologies.,Stephen Murray,"Frankie Neptune left driving a New York City taxi and a career in academia to become a NYC police officer. It was a tough time-back in the seventies and into the early nineties-to be a cop. Crime was soaring, and the city was wild. Back in the day, unconventional cops could still have a good time protecting the innocent, teaching skells some manners, and annoying their suspicious sergeants- all while finding out who really killed a respected transvestite. With language and attitudes portrayed as brutally honest, it is Politically Incorrect Fiction at its best.",1982051205,NYPD The Way Things Were: No Revisionist History. No Safe Spaces. No Apologies.
600,Safe Spaces,How to Create a Comfortable Atmospher for Difficult Conversations.,Vedrienne Williams,"Safe Spaces is a helpful quide for parents, teachers and advocates on how to create a comfortable space for children or teenagers when addressing difficult conversations. This book raises awareness by providing guidelines and strategies with helping our youth to speak out. Conversations such as sexual assault and prevention can be empowering and less fearful when presented in correct manor.",1075793246,Safe Spaces How to Create a Comfortable Atmospher for Difficult Conversations.
602,Composition Notebook,Veteran Snowflake Safe Spaces Sniper 2nd Amendment Pro Gun Journal/Notebook Blank Lined Ruled 6x9 100 Pages,Claudia Gunther,"Are you looking for a fun gift for someone close to you? This is a perfect blank, lined notebook for men, women, and children. Great for taking down notes, reminders, and crafting to-do lists. Also a great creativity gift for decoration or for a notebook for school or office! This notebook is an excellent accessory for your desk at home or at the office. It's the perfect travel size to fit in a laptop bag or backpack. Use it on the go and you will keep all of your notes and reminders in organized in one place. Professionally designed this 6x9 notebook provides the medium for you to detail your thoughts. Buy your notebook today and begin to fill the pre-lined pages with your heart's desire. Your new notebook includes: Fresh white paper 100 pages 6x9 inch format Paper color: White We have even more wonderful titles that you'll enjoy! Be sure to click on the author name for other great notebook ideas.",1672171245,Composition Notebook Veteran Snowflake Safe Spaces Sniper 2nd Amendment Pro Gun Journal/Notebook Blank Lined Ruled 6x9 100 Pages
606,Re-Conceptualizing Safe Spaces,Supporting Inclusive Education,Kate Winter,"This book broadens the idea of a safe space that is traditionally discussed in feminist studies, to include gendered identities intersecting with class, race/ethnicity, sexual orientation, and ability within multiple aspects of education. This collection showcases work supporting access to education of vulnerable populations.",1839822511,Re-Conceptualizing Safe Spaces Supporting Inclusive Education
608,Safe Spaces,"Self-care, Distraction and Relaxation Techniques!",Rachel Blanton,"This zine is not too long, but full of helpful information on how to get through an uncomfortable medical procedure like a champ. It also touches on art therapy, aftercare, and creating good habits of self care. Hand-drawn illustrations and the entire zine is in black and white.",1621069710,"Safe Spaces Self-care, Distraction and Relaxation Techniques!"
610,Imagine No Child Left Invisible: Building Emotionally Safe Spaces for Inclusive & Creative Learning,,Shelja Sen,"Why do we send our children to school? How can learning be meaningful? And most importantly, how can we build schools worthy of our children? From the time children are little, we start making stories about them. Schools are like factories where these stories are manufactured all the time. Some children, who're at the top of the social hierarchy, enjoy rich, diverse and colourful stories, which are told and retold. But there are many who spend most of their lives in school, clutching on to single, thin narratives where they've been judged as: 'a failure', 'can do better', 'not up to the mark' or 'not reaching potential' - every 'not' restricting and making their narratives thinner, limited, with lesser scope for possibilities. These are the children who are forgotten, who are invisible and who are seen as never being good enough. At the core of this book is a deep faith that learning is about the magical relationship the teacher builds with each child; it is about building emotionally safe, inclusive spaces for creative learning - this is the heart, the lifeblood, the bare bones of learning. Imagine is a call to action for teachers, parents, counsellors, therapists, activists, thought leaders and other change agents in our society. It is a game changer that will force us to reflect, rethink and redesign schools to ones that our children truly deserve.",9789352773275,
612,Creating Safe Space,Violence and Women's Writing,Tomoko Kuribayashi,"An anthology of literary essays focusing on the ways in which sexual, emotional, physical, racial, and other forms of violence have affected women artists' imaginations.",0791435636,Creating Safe Space Violence and Women's Writing
616,A Case Study on the Design of Safe Spaces in Hospitals Vulnerable to Tornadoes in Central US,,Lucy O. Ampaw-Asiedu,"In the wake of recent disasters happening around the world such as the earthquake in Italy (January 2017); hurricanes in the United States (U.S.) (September 2016 and 2017); and compounding disasters in Haiti (September 2010 and 2016); to our best knowledge, never has the world seen the need to work on preemptive rather than reactionary measures to address this issue. Tornadoes are natural hazards that commonly occur in mid-western and central states of the U.S. Tornadoes, like all natural hazards, are very destructive and result in massive destruction to building structures, causing billions of dollars in damage and claim many lives. Healthcare facilities in general are vulnerable to disasters and the safety of patients, health workers as well as those who come in to seek shelter should be a priority. This study assessed disaster management measures instituted by hospitals. Thus, the study examined building structure vulnerabilities and the design of safe spaces in hospitals within central U.S. Objectives that guided the work involved identifying the impact of tornadoes in hospitals and assessing the structural design of safe spaces. St. John’s Regional Medical Center, now Mercy Hospital in Joplin, was used as a case study as a point of comparison pointing out structural performance from the 2011 event. The study revealed that incorporating construction materials outlined by FEMA and designing safe zones according to high-winds capacity is vital for reducing vulnerability to disasters in healthcare facilities. Findings led to a proposed structural design of an interior hallway/corridor safe space for healthcare facilities.",OCLC:1049711288,
617,"Strengthening Safe Spaces for Queer People of Color in Chicago, Illinois",,Nicole M. Thomas,"With inequity of marginalized communities, there is an increasing need to address areas of growth regarding planning practices in order to be inclusive of all populations while still preserving identity. Many communities are challenged with the perception of not creating culturally welcoming spaces, thus excluding a segment of the population. This thesis analyzes the concentration of same-sex partnership households in Chicago, Illinois' urban neighborhoods. Assessments of variables contributing to disparities in neighborhoods direct considerations and discussion on how they impact queer people of color. The research approach in this thesis consists of qualitative insight from academic practitioners and quantitative analysis of demographic Census data. The analysis demonstrates the need for further research to identify stronger representation of spaces for queer people of color to increase access of resources and quality of life. Recommendations from this analysis results in an new index tool and identifies supporting practices that generate innovation for a multifaceted approach in planning. This approach contributes to stronger economics, equity, and environmental considerations for city growth. The recommendations encourage inclusive planning practices that argue intersectional assessment for safe spaces and preservation of cultural diversity benefits everyone.",1339718693,
619,Notebook,Veteran Snowflake Safe Spaces Sniper 2nd Amendment Pro Gun T- Notebook 100 Pages 6x9 Inch by Denvy Emily5,Denvy Emily5,Veteran Snowflake Safe Spaces Sniper 2nd Amendment Pro Gun T- Notebook,9798669483647,Notebook Veteran Snowflake Safe Spaces Sniper 2nd Amendment Pro Gun T- Notebook 100 Pages 6x9 Inch by Denvy Emily5
621,Institutionally Designated Safe Spaces,Understanding How Black Students Utilize and Experience These Spaces to Develop a Sense of Belonging,Emil Cunningham,"This paper explores the lived experiences of twelve self-identified Black students at Middle State University (Middle State), a predominantly White institution (PWI). This research focused on understanding how institutionally designated safe spaces (IDSS) helped Black students develop a sense of belonging after experiencing a negative campus racial incident (NCRI). Using Hurtado, Milem, Clayton-Pederson, and Allen's (1999) campus racial climate model as a theoretical framework, this study developed a model to represent how Black students who utilize an IDSS to develop a sense of belonging with the broader campus community do so in concert with their engagement in both the academic and co-curricular realm. This research discovered that though NCRIs had an immediate effect on participants, it did not rise to a threshold that would diminish their ability to develop a sense of belonging, nor did it enhance or reduce their level of engagement with the IDSS. Additionally, it was discovered that Black students participating in this study attributed their development of a sense of belonging to the ability of a specific areas (IDSS, curricular, or co-curricular) to meet their individual needs related to belonging.",OCLC:915618736,Institutionally Designated Safe Spaces Understanding How Black Students Utilize and Experience These Spaces to Develop a Sense of Belonging
622,"""Tacos!, Burritos!, Tortas!""",Migrant Entrepreneurs' Quest for Economic Mobility and Safe Spaces in Arizona,LeighAnna G. Hidalgo,"Abstract: This thesis is an ethnographic study of food truck vendors in Phoenix, Arizona that shows the lived realities of Mexican migrant entrepreneurs, including their struggles and their successes. Although many consider food vending a marginal profession, I argue that these vendors play a critical role in the local economy by creating opportunities for families and extended networks to accumulate wealth and upward mobility. I also illustrate how these entrepreneurs conceptualize success, believing their enterprises are crucial to immigrants' struggles because they provide goods and services to racially segregated communities. Further, by comparing and contrasting different types of food truck vendors I show how political activism and community organizing can lead to greater economic success. Ultimately, this thesis shows that despite strict immigration policies, migrant entrepreneurs in Phoenix have claimed their own public space that provides a safe haven for migrants seeking a better future in the United States.",1303019906,"""Tacos!, Burritos!, Tortas!"" Migrant Entrepreneurs' Quest for Economic Mobility and Safe Spaces in Arizona"
624,Safe Enough Spaces,,Michael S. Roth,"From the president of Wesleyan University, a compassionate and provocative manifesto on the crises confronting higher education In this bracing book, Michael S. Roth stakes out a pragmatist path through the thicket of issues facing colleges today to carry out the mission of higher education. With great empathy, candor, subtlety, and insight, Roth offers a sane approach to the noisy debates surrounding affirmative action, political correctness, and free speech, urging us to envision college as a space in which students are empowered to engage with criticism and with a variety of ideas. Countering the increasing cynical dismissal--from both liberals and conservatives--of the traditional core values of higher education, this book champions the merits of different diversities, including intellectual diversity, with a timely call for universities to embrace boldness, rigor, and practical idealism.",9780300234855,
627,Restoring the Fallen,Creating Safe Spaces for This Who Fail,Mark Stibbe,"Restoring the Fallen tells Mark and Cherith Stibbe's painful story of fall, repentance and restoration. Rooted throughout in the moving tale of Peter's restoration in John 21, Mark and Cherith offer hope and healing to those who have fallen. They use the picture of kintsugi - the Japanese art of repairing broken cups using golden lacquer - to reveal how we are all cracked pots, but our loving Father is the Divine Potter, and in his hands, our fractures become the fissures through which his glory shines!",1912863073,Restoring the Fallen Creating Safe Spaces for This Who Fail
634,Coping with Gender Fluidity,,Stephanie Lundquist-Arora,"A study published in 2018 found that the number of gender-fluid and transgender teens are on the rise and being underestimated by researchers. In a time when a political and media spotlight is cast significantly on teen gender identities, awareness and access to resources are even more important. This illuminating resources highlights that the right to self-define is a civil right. Readers will discover what it means to be gender-fluid and how to dispel predominant myths. They will also learn how to access resources on physical and mental health, as well as safe spaces and the advocate community.",9781725341272,
